OID,CustomerID,Date,Location,Item,Item Type,Quantity,Unit Cost,Total Cost,Payment Type,Rating,Restaurant
51765,ID3489,2021-05-16 ,Narsingi,Dal,Veg,9,180,1620,Google Pay,2,Adhya Grand
5022,ID9856,2023-12-06 ,Narsingi,Dal,Veg,9,180,1620,Cash,3,New Punjabi Hotel
10238,ID1228,2022-12-19 ,Kokapet,Mutton,Non Veg,9,350,3150,Google Pay,5,Tandoor Hut
83157,ID6103,2023-06-17 ,Nanakramguda,Fish,Non Veg,2,320,640,Google Pay,4,New Punjabi Hotel
37421,ID9981,2021-11-22 ,Kokapet,Chicken,Non Veg,10,250,2500,Google Pay,1,New Punjabi Hotel
13941,ID1043,2022-10-16 ,Hitech City,Puri,Veg,5,60,300,Google Pay,4,Balaji Hotel
11574,ID8238,2020-05-17 ,Madhapur,Mutton,Non Veg,9,350,3150,Phone Pay,5,Adhya Grand
30969,ID9794,2021-04-10 ,Kokapet,Poha,Veg,1,70,70,Google Pay,1,Balaji Hotel
78474,ID9207,2024-05-21 ,Narsingi,Poha,Veg,8,70,560,Phone Pay,4,Tandoor Hut
98061,ID5346,2020-04-01 ,Narsingi,Chicken,Non Veg,3,250,750,Google Pay,5,New Punjabi Hotel
19826,ID5750,2020-11-26 ,Hitech City,Poha,Veg,5,70,350,Cash,3,New Punjabi Hotel
73748,ID3363,2022-02-12 ,Madhapur,Puri,Veg,6,60,360,Cash,2,Adhya Grand
32627,ID5691,2022-09-20 ,Nanakramguda,Chicken,Non Veg,3,250,750,Phone Pay,3,Balaji Hotel
43538,ID8155,2021-12-27 ,Nanakramguda,Chicken,Non Veg,8,250,2000,Cash,2,Balaji Hotel
14745,ID8563,2020-06-16 ,Gachibowli,Dosa,Veg,10,60,600,Phone Pay,1,New Punjabi Hotel
7674,ID6061,2020-04-09 ,Hitech City,Dal,Veg,9,180,1620,Phone Pay,1,Balaji Hotel
86109,ID9680,2020-12-05 ,Gachibowli,Chapathi,Veg,5,15,75,Google Pay,2,Adhya Grand
9196,ID6979,2022-10-28 ,Nanakramguda,Fish,Non Veg,1,320,320,Google Pay,3,Adhya Grand
30695,ID8271,2021-02-17 ,Gachibowli,Dal,Veg,4,180,720,Google Pay,4,Kaveri Restaurant
67744,ID6027,2024-05-20 ,Narsingi,Poha,Veg,1,70,70,Cash,4,Kaveri Restaurant
65110,ID9828,2021-04-19 ,Kokapet,Chicken,Non Veg,7,250,1750,Phone Pay,5,Kaveri Restaurant
56203,ID2318,2022-07-20 ,Madhapur,Dosa,Veg,2,60,120,Cash,3,Hotel CVR
44790,ID7670,2020-11-22 ,Hitech City,Mutton,Non Veg,3,350,1050,Cash,1,Adhya Grand
1650,ID6417,2022-05-11 ,Kokapet,Chapathi,Veg,10,15,150,Google Pay,2,Hotel CVR
10925,ID4129,2024-10-17 ,Narsingi,Dosa,Veg,3,60,180,Google Pay,5,New Punjabi Hotel
80204,ID1962,2022-05-06 ,Kokapet,Mutton,Non Veg,5,350,1750,Phone Pay,4,Kaveri Restaurant
16387,ID8353,2021-05-21 ,Madhapur,Chapathi,Veg,3,15,45,Phone Pay,5,New Punjabi Hotel
67208,ID9095,2022-04-15 ,Kokapet,Fish,Non Veg,10,320,3200,Phone Pay,5,Adhya Grand
40366,ID5097,2024-08-23 ,Kokapet,Fish,Non Veg,9,320,2880,Google Pay,4,Kaveri Restaurant
51575,ID1207,2021-11-25 ,Kokapet,Dosa,Veg,10,60,600,Google Pay,1,New Punjabi Hotel
75877,ID6561,2022-07-12 ,Gachibowli,Chapathi,Veg,8,15,120,Cash,1,Adhya Grand
38115,ID7152,2021-05-20 ,Kokapet,Dosa,Veg,3,60,180,Cash,4,Adhya Grand
58880,ID3318,2022-04-30 ,Hitech City,Puri,Veg,8,60,480,Phone Pay,3,Tandoor Hut
39936,ID8528,2024-04-27 ,Hitech City,Poha,Veg,7,70,490,Cash,5,Tandoor Hut
60674,ID3105,2024-07-10 ,Madhapur,Puri,Veg,10,60,600,Phone Pay,1,Kaveri Restaurant
23709,ID3248,2021-02-27 ,Gachibowli,Poha,Veg,6,70,420,Phone Pay,1,Tandoor Hut
29627,ID6127,2021-11-27 ,Nanakramguda,Fish,Non Veg,7,320,2240,Google Pay,5,Adhya Grand
50228,ID8978,2022-04-04 ,Madhapur,Poha,Veg,6,70,420,Cash,3,Kaveri Restaurant
78778,ID7876,2020-08-08 ,Nanakramguda,Dosa,Veg,5,60,300,Cash,3,New Punjabi Hotel
17576,ID6713,2024-12-20 ,Hitech City,Chicken,Non Veg,1,250,250,Cash,5,Tandoor Hut
19593,ID6125,2023-08-05 ,Madhapur,Puri,Veg,6,60,360,Google Pay,3,Kaveri Restaurant
41534,ID6947,2024-10-21 ,Hitech City,Mutton,Non Veg,1,350,350,Cash,5,Balaji Hotel
41160,ID8963,2022-05-26 ,Kokapet,Mutton,Non Veg,2,350,700,Google Pay,1,Tandoor Hut
20246,ID5416,2024-04-24 ,Madhapur,Poha,Veg,5,70,350,Cash,4,Adhya Grand
4568,ID4646,2020-10-29 ,Narsingi,Chicken,Non Veg,8,250,2000,Google Pay,2,New Punjabi Hotel
42471,ID2944,2024-12-12 ,Gachibowli,Chicken,Non Veg,7,250,1750,Phone Pay,3,Hotel CVR
3636,ID6955,2023-12-21 ,Gachibowli,Poha,Veg,1,70,70,Cash,5,Kaveri Restaurant
27752,ID4629,2022-04-20 ,Madhapur,Dosa,Veg,10,60,600,Google Pay,2,Adhya Grand
42577,ID1110,2021-07-14 ,Kokapet,Poha,Veg,1,70,70,Cash,1,Hotel CVR
8249,ID6741,2022-09-10 ,Kokapet,Dosa,Veg,4,60,240,Google Pay,5,Tandoor Hut
44728,ID9288,2020-10-08 ,Kokapet,Fish,Non Veg,1,320,320,Google Pay,2,Hotel CVR
30717,ID5514,2021-11-21 ,Hitech City,Mutton,Non Veg,3,350,1050,Cash,3,Balaji Hotel
39052,ID6382,2024-02-27 ,Gachibowli,Poha,Veg,4,70,280,Cash,1,Adhya Grand
73599,ID8590,2023-04-10 ,Narsingi,Dosa,Veg,8,60,480,Phone Pay,2,Balaji Hotel
59326,ID3879,2020-07-10 ,Madhapur,Chicken,Non Veg,8,250,2000,Phone Pay,1,Balaji Hotel
71590,ID7403,2022-09-22 ,Nanakramguda,Poha,Veg,1,70,70,Google Pay,1,Tandoor Hut
74715,ID7872,2022-02-26 ,Nanakramguda,Puri,Veg,8,60,480,Google Pay,1,Kaveri Restaurant
83485,ID4172,2024-01-30 ,Kokapet,Dosa,Veg,3,60,180,Cash,2,Balaji Hotel
31774,ID7406,2024-09-03 ,Narsingi,Chicken,Non Veg,3,250,750,Cash,2,Hotel CVR
53953,ID4733,2023-08-02 ,Madhapur,Chicken,Non Veg,8,250,2000,Cash,3,Adhya Grand
20789,ID9148,2022-01-27 ,Gachibowli,Chapathi,Veg,8,15,120,Cash,3,Kaveri Restaurant
56049,ID4632,2022-07-30 ,Gachibowli,Chicken,Non Veg,5,250,1250,Phone Pay,4,Balaji Hotel
66228,ID5730,2021-06-21 ,Gachibowli,Puri,Veg,1,60,60,Phone Pay,5,New Punjabi Hotel
70265,ID6366,2022-10-10 ,Nanakramguda,Fish,Non Veg,2,320,640,Google Pay,4,Balaji Hotel
33760,ID4254,2024-10-25 ,Hitech City,Puri,Veg,4,60,240,Cash,2,Tandoor Hut
55380,ID9351,2020-07-04 ,Madhapur,Poha,Veg,2,70,140,Cash,4,Kaveri Restaurant
62900,ID6960,2025-01-01 ,Nanakramguda,Fish,Non Veg,1,320,320,Google Pay,3,Tandoor Hut
58094,ID8030,2021-01-05 ,Kokapet,Dal,Veg,7,180,1260,Phone Pay,3,Hotel CVR
19532,ID7745,2022-12-22 ,Narsingi,Chapathi,Veg,1,15,15,Phone Pay,1,Tandoor Hut
12686,ID5058,2022-06-27 ,Gachibowli,Dosa,Veg,4,60,240,Google Pay,2,Balaji Hotel
49952,ID8550,2023-03-30 ,Nanakramguda,Mutton,Non Veg,9,350,3150,Phone Pay,3,Hotel CVR
34816,ID2781,2020-09-21 ,Narsingi,Chicken,Non Veg,10,250,2500,Cash,3,Tandoor Hut
45316,ID1703,2023-01-17 ,Narsingi,Dosa,Veg,2,60,120,Google Pay,5,Adhya Grand
7029,ID9531,2024-03-26 ,Madhapur,Mutton,Non Veg,1,350,350,Cash,2,Hotel CVR
50507,ID4666,2023-04-21 ,Hitech City,Poha,Veg,5,70,350,Phone Pay,4,Tandoor Hut
86842,ID6726,2022-01-01 ,Gachibowli,Puri,Veg,7,60,420,Cash,3,Kaveri Restaurant
8172,ID5651,2021-01-08 ,Hitech City,Fish,Non Veg,5,320,1600,Cash,4,Hotel CVR
94175,ID1388,2022-06-17 ,Gachibowli,Dal,Veg,9,180,1620,Google Pay,1,Kaveri Restaurant
11344,ID4747,2022-03-04 ,Nanakramguda,Poha,Veg,7,70,490,Phone Pay,5,Balaji Hotel
27832,ID4712,2023-11-20 ,Madhapur,Poha,Veg,10,70,700,Cash,5,Adhya Grand
95576,ID2313,2022-08-10 ,Madhapur,Puri,Veg,3,60,180,Google Pay,3,Kaveri Restaurant
13187,ID7435,2024-09-16 ,Narsingi,Dal,Veg,6,180,1080,Phone Pay,5,Hotel CVR
2470,ID1861,2022-12-10 ,Madhapur,Dal,Veg,8,180,1440,Cash,5,Tandoor Hut
12861,ID7338,2020-01-02 ,Narsingi,Dosa,Veg,4,60,240,Google Pay,3,Hotel CVR
33861,ID6638,2020-05-20 ,Madhapur,Dal,Veg,3,180,540,Cash,3,Balaji Hotel
35160,ID8590,2023-03-02 ,Hitech City,Chapathi,Veg,2,15,30,Cash,2,Kaveri Restaurant
99811,ID9933,2023-04-20 ,Hitech City,Poha,Veg,5,70,350,Google Pay,2,Balaji Hotel
56325,ID3424,2020-02-11 ,Madhapur,Dal,Veg,4,180,720,Cash,2,Tandoor Hut
60804,ID5379,2024-08-19 ,Madhapur,Fish,Non Veg,4,320,1280,Phone Pay,4,Kaveri Restaurant
95042,ID5690,2021-12-25 ,Madhapur,Chapathi,Veg,7,15,105,Phone Pay,2,Hotel CVR
66823,ID7439,2021-03-02 ,Narsingi,Dal,Veg,4,180,720,Phone Pay,5,Adhya Grand
32353,ID3047,2023-06-10 ,Kokapet,Fish,Non Veg,9,320,2880,Google Pay,2,New Punjabi Hotel
80035,ID6763,2022-02-05 ,Hitech City,Chapathi,Veg,1,15,15,Google Pay,5,Kaveri Restaurant
15708,ID1359,2022-04-23 ,Narsingi,Dal,Veg,3,180,540,Phone Pay,3,Adhya Grand
65795,ID6426,2020-11-15 ,Narsingi,Poha,Veg,3,70,210,Phone Pay,2,Adhya Grand
61703,ID2330,2021-05-23 ,Kokapet,Poha,Veg,6,70,420,Cash,5,Tandoor Hut
10300,ID8495,2023-01-12 ,Hitech City,Fish,Non Veg,2,320,640,Cash,1,Tandoor Hut
85388,ID8694,2023-09-29 ,Narsingi,Poha,Veg,5,70,350,Phone Pay,3,Kaveri Restaurant
8152,ID7047,2022-10-10 ,Nanakramguda,Mutton,Non Veg,1,350,350,Cash,1,Balaji Hotel
49587,ID2454,2020-09-06 ,Kokapet,Poha,Veg,1,70,70,Cash,1,Hotel CVR
72951,ID9398,2020-11-15 ,Kokapet,Poha,Veg,9,70,630,Phone Pay,1,New Punjabi Hotel
68248,ID6727,2024-11-25 ,Narsingi,Fish,Non Veg,1,320,320,Phone Pay,5,Kaveri Restaurant
60935,ID8912,2024-05-29 ,Gachibowli,Chapathi,Veg,5,15,75,Cash,4,Adhya Grand
98487,ID2774,2023-05-08 ,Kokapet,Dosa,Veg,1,60,60,Google Pay,1,New Punjabi Hotel
11350,ID4498,2021-08-10 ,Madhapur,Puri,Veg,3,60,180,Google Pay,1,Adhya Grand
71304,ID7515,2024-01-25 ,Kokapet,Mutton,Non Veg,2,350,700,Phone Pay,5,Kaveri Restaurant
48114,ID1647,2022-04-25 ,Gachibowli,Mutton,Non Veg,6,350,2100,Phone Pay,1,Balaji Hotel
84918,ID7503,2022-12-31 ,Nanakramguda,Chicken,Non Veg,3,250,750,Google Pay,4,Balaji Hotel
16115,ID7235,2020-06-02 ,Madhapur,Fish,Non Veg,3,320,960,Phone Pay,1,Adhya Grand
45942,ID9205,2024-02-13 ,Narsingi,Mutton,Non Veg,9,350,3150,Google Pay,3,Adhya Grand
28238,ID1010,2020-05-18 ,Nanakramguda,Puri,Veg,1,60,60,Phone Pay,5,New Punjabi Hotel
26193,ID6139,2021-01-25 ,Gachibowli,Puri,Veg,6,60,360,Google Pay,2,Hotel CVR
75416,ID4822,2022-07-02 ,Kokapet,Dal,Veg,10,180,1800,Phone Pay,5,Hotel CVR
27169,ID5644,2023-04-06 ,Gachibowli,Mutton,Non Veg,3,350,1050,Google Pay,5,Hotel CVR
77270,ID4819,2023-02-27 ,Gachibowli,Dal,Veg,7,180,1260,Google Pay,1,Kaveri Restaurant
3548,ID5731,2023-08-09 ,Nanakramguda,Fish,Non Veg,4,320,1280,Google Pay,1,New Punjabi Hotel
62717,ID3431,2021-12-28 ,Nanakramguda,Chicken,Non Veg,2,250,500,Cash,4,New Punjabi Hotel
15241,ID1910,2020-03-29 ,Madhapur,Dosa,Veg,4,60,240,Phone Pay,5,New Punjabi Hotel
97314,ID6704,2020-12-20 ,Narsingi,Dosa,Veg,6,60,360,Phone Pay,2,Adhya Grand
43498,ID4080,2022-09-12 ,Narsingi,Dal,Veg,6,180,1080,Cash,3,Hotel CVR
18537,ID5048,2023-11-14 ,Madhapur,Mutton,Non Veg,3,350,1050,Phone Pay,2,Adhya Grand
47605,ID1671,2024-04-29 ,Kokapet,Dosa,Veg,4,60,240,Phone Pay,2,Hotel CVR
12173,ID7403,2022-10-01 ,Hitech City,Fish,Non Veg,1,320,320,Phone Pay,2,Hotel CVR
55090,ID8229,2022-09-02 ,Kokapet,Poha,Veg,5,70,350,Cash,4,Adhya Grand
63956,ID2324,2022-04-03 ,Nanakramguda,Chapathi,Veg,8,15,120,Cash,2,Kaveri Restaurant
69050,ID6390,2021-04-27 ,Kokapet,Mutton,Non Veg,1,350,350,Phone Pay,1,New Punjabi Hotel
68485,ID4918,2022-05-07 ,Kokapet,Fish,Non Veg,6,320,1920,Google Pay,5,Hotel CVR
52629,ID2879,2023-06-30 ,Narsingi,Chapathi,Veg,1,15,15,Phone Pay,3,New Punjabi Hotel
23719,ID8700,2021-01-01 ,Gachibowli,Chicken,Non Veg,1,250,250,Cash,2,New Punjabi Hotel
40681,ID9250,2022-10-19 ,Gachibowli,Dosa,Veg,3,60,180,Google Pay,2,Tandoor Hut
37384,ID1357,2024-12-09 ,Kokapet,Puri,Veg,4,60,240,Google Pay,4,Tandoor Hut
75688,ID4963,2024-01-18 ,Nanakramguda,Dal,Veg,10,180,1800,Google Pay,4,Adhya Grand
36854,ID1396,2022-09-27 ,Gachibowli,Chicken,Non Veg,9,250,2250,Cash,3,Balaji Hotel
66748,ID3105,2020-07-08 ,Hitech City,Puri,Veg,3,60,180,Google Pay,4,Kaveri Restaurant
54320,ID9685,2021-06-08 ,Hitech City,Poha,Veg,7,70,490,Google Pay,2,Tandoor Hut
24598,ID4203,2024-06-24 ,Hitech City,Dal,Veg,3,180,540,Phone Pay,1,Tandoor Hut
44785,ID2610,2021-04-07 ,Hitech City,Puri,Veg,7,60,420,Google Pay,2,Kaveri Restaurant
43486,ID7897,2023-02-28 ,Nanakramguda,Dal,Veg,3,180,540,Cash,4,Adhya Grand
90862,ID3937,2021-03-11 ,Hitech City,Chapathi,Veg,2,15,30,Phone Pay,2,Tandoor Hut
80224,ID8352,2020-10-22 ,Madhapur,Fish,Non Veg,6,320,1920,Cash,3,New Punjabi Hotel
49957,ID9412,2024-06-02 ,Nanakramguda,Fish,Non Veg,5,320,1600,Google Pay,2,New Punjabi Hotel
30016,ID4763,2021-05-08 ,Kokapet,Dal,Veg,2,180,360,Cash,5,Adhya Grand
15915,ID1673,2021-03-22 ,Hitech City,Mutton,Non Veg,10,350,3500,Phone Pay,3,Tandoor Hut
95710,ID1784,2020-10-24 ,Narsingi,Chicken,Non Veg,2,250,500,Phone Pay,5,New Punjabi Hotel
76944,ID4371,2024-06-26 ,Nanakramguda,Chicken,Non Veg,2,250,500,Google Pay,3,Hotel CVR
69888,ID8477,2021-01-08 ,Hitech City,Chicken,Non Veg,2,250,500,Phone Pay,3,Kaveri Restaurant
54895,ID7561,2024-01-25 ,Nanakramguda,Dal,Veg,10,180,1800,Google Pay,2,Adhya Grand
46902,ID7234,2023-02-17 ,Gachibowli,Fish,Non Veg,4,320,1280,Cash,3,Balaji Hotel
30022,ID9901,2022-03-06 ,Kokapet,Dal,Veg,2,180,360,Phone Pay,1,Adhya Grand
67185,ID2977,2023-04-02 ,Gachibowli,Puri,Veg,3,60,180,Google Pay,3,Adhya Grand
14969,ID2048,2020-12-10 ,Gachibowli,Mutton,Non Veg,9,350,3150,Phone Pay,3,Adhya Grand
41470,ID1783,2021-06-28 ,Kokapet,Fish,Non Veg,10,320,3200,Google Pay,2,Kaveri Restaurant
77067,ID7704,2021-10-05 ,Gachibowli,Poha,Veg,6,70,420,Google Pay,5,Tandoor Hut
9090,ID5459,2021-09-14 ,Gachibowli,Dal,Veg,9,180,1620,Phone Pay,3,Adhya Grand
60517,ID7979,2022-04-11 ,Gachibowli,Dosa,Veg,1,60,60,Phone Pay,4,Balaji Hotel
87219,ID6640,2022-12-16 ,Hitech City,Mutton,Non Veg,6,350,2100,Phone Pay,1,Balaji Hotel
17572,ID7413,2020-03-28 ,Narsingi,Puri,Veg,10,60,600,Cash,2,Balaji Hotel
10574,ID6945,2021-02-07 ,Narsingi,Poha,Veg,10,70,700,Google Pay,2,Adhya Grand
57463,ID5911,2023-10-07 ,Narsingi,Puri,Veg,10,60,600,Cash,1,New Punjabi Hotel
75818,ID4869,2023-01-07 ,Narsingi,Poha,Veg,1,70,70,Cash,5,Hotel CVR
24426,ID4775,2021-11-04 ,Kokapet,Chicken,Non Veg,6,250,1500,Google Pay,4,Balaji Hotel
19302,ID4262,2022-01-07 ,Hitech City,Chicken,Non Veg,9,250,2250,Phone Pay,4,Balaji Hotel
